1;por un mundo unidos;a;image/crow.jpg;4;-1,1,2,3,4,19,20,21,22,23,
2;por la lavadora;tururu;image/crow.jpg;2;-1,5,6,7,8,9,16,17,18,29,30,
3;por los macarrones;somos los que eramos ayer;image/crow.jpg;1;-1,10,11,12,13,14,15,
4;por un mundo unidos;tururu;image/crow.jpg;4;-1,
5;por la lavadora;a;image/crow.jpg;2;-1,
6;por los macarrones;<html>¡ Hola Amigos !<br>Soy papá de Adrián, un campeón de 6 años que lleva desde los 2 luchando contra el cáncer. El pasado Septiembre pasó por un autotrasplante de médula y desde entonces, ha empezado una carrera rumbo a la recuperación total.<br>En nuestra etapa en el "Hospi" hemos encontrado unos amigos estupendos, los amigos de la Fundación Blas Méndez Ponce, que dedican todo su esfuerzo a hacer que los niños dejen de padecer cáncer encerrados en el hospital y vivan esperiencias estupendas mientras se enfrentan a la enfermedad.<br>Quiero agradecerles su labor haciendo posible la " I Carrera Solidaria Blas Méndez Ponce" y para ello pongo en marcha este gran reto.<br>¿ Me ayudais a conseguirlo?<br>Un abrazo enorme a todos.</html>;image/crow.jpg;5;-1,
7;por un mundo unidos;tururu;image/crow.jpg;4;-1,
8;por la lavadora;a;image/crow.jpg;2;-1,
9;por los macarrones;<html>¡ Hola Amigos !<br>Soy papá de Adrián, un campeón de 6 años que lleva desde los 2 luchando contra el cáncer. El pasado Septiembre pasó por un autotrasplante de médula y desde entonces, ha empezado una carrera rumbo a la recuperación total.<br>En nuestra etapa en el "Hospi" hemos encontrado unos amigos estupendos, los amigos de la Fundación Blas Méndez Ponce, que dedican todo su esfuerzo a hacer que los niños dejen de padecer cáncer encerrados en el hospital y vivan esperiencias estupendas mientras se enfrentan a la enfermedad.<br>Quiero agradecerles su labor haciendo posible la " I Carrera Solidaria Blas Méndez Ponce" y para ello pongo en marcha este gran reto.<br>¿ Me ayudais a conseguirlo?<br>Un abrazo enorme a todos.</html>;image/crow.jpg;5;-1,
10;por un mundo unidos;tururu;image/crow.jpg;4;-1,
11;por la lavadora;a;image/crow.jpg;2;-1,
12;por los macarrones;<html>¡ Hola Amigos !<br>Soy papá de Adrián, un campeón de 6 años que lleva desde los 2 luchando contra el cáncer. El pasado Septiembre pasó por un autotrasplante de médula y desde entonces, ha empezado una carrera rumbo a la recuperación total.<br>En nuestra etapa en el "Hospi" hemos encontrado unos amigos estupendos, los amigos de la Fundación Blas Méndez Ponce, que dedican todo su esfuerzo a hacer que los niños dejen de padecer cáncer encerrados en el hospital y vivan esperiencias estupendas mientras se enfrentan a la enfermedad.<br>Quiero agradecerles su labor haciendo posible la " I Carrera Solidaria Blas Méndez Ponce" y para ello pongo en marcha este gran reto.<br>¿ Me ayudais a conseguirlo?<br>Un abrazo enorme a todos.</html>;image/crow.jpg;5;-1,
